제목,작성자,작성일,조회수,좋아요
N/A,Iiiiiiiiiilllili,N/A,N/A,N/A
전문대 선택,시시시이,2024.11.12.,145,N/A
N/A,시시시이,N/A,N/A,N/A
생윤,행운이가득하기를바람,2024.11.12.,47,N/A
N/A,행운이가득하기를바람,N/A,N/A,N/A
아무나 위로 좀..,올해대학좀보내줘,2024.11.12.,621,N/A
N/A,올해대학좀보내줘,N/A,N/A,N/A
[미대 정시] 탐구,sjidwiw,2024.11.12.,107,N/A
N/A,sjidwiw,N/A,N/A,N/A
동국대 ai 작년 1차 합격자 95프로가 물리 이수했다고 하는데 다들 아셨나요...?,IilliiillIlIil,2024.11.12.,514,N/A
N/A,IilliiillIlIil,N/A,N/A,N/A
한경대 법학 잠재력 우수자..,님니니,2024.11.12.,130,N/A
N/A,님니니,N/A,N/A,N/A
여대 공학 전환 반대하는 이유가 뭐임? 망해가는 잡대 살리려면 어쩔수 없는건데,시대인재의개,2024.11.12.,1526,N/A
N/A,시대인재의개,N/A,N/A,N/A
외대랑 중대는 논술고사장,화이트카라,2024.11.12.,115,N/A
N/A,화이트카라,N/A,N/A,N/A
동국대가,iilililllilililillli,2024.11.12.,912,N/A
N/A,iilililllilililillli,N/A,N/A,N/A
[서울권] 기말대비 관리형 수학과외/윈터스쿨 및 내년 수능 조기준비생 모집,DS교육,2024.11.12.,48,N/A
N/A,DS교육,N/A,N/A,N/A
ㅋㅋㅋㅋㅋㅋㅋ 개뜨거운 합격,kyungheehapgyok,2024.11.12.,976,N/A
N/A,kyungheehapgyok,N/A,N/A,N/A
한경대 예비 붙을까요,서울과기대 25학번,2024.11.12.,163,N/A
N/A,서울과기대 25학번,N/A,N/A,N/A
인하대,유교과25학번이되,2024.11.12.,523,N/A
N/A,유교과25학번이되,N/A,N/A,N/A
경북대 최저,11111i1,2024.11.12.,333,N/A
N/A,11111i1,N/A,N/A,N/A
동국대 소프트웨어,인서울제바류ㅠㅠㅠㅠ,2024.11.12.,288,N/A
N/A,인서울제바류ㅠㅠㅠㅠ,N/A,N/A,N/A
서경대 군사학과,Iilllluiuuull,2024.11.12.,47,N/A
N/A,Iilllluiuuull,N/A,N/A,N/A
[미대 수시] 수시.면접,가보자ㄱ,2024.11.12.,129,N/A
N/A,가보자ㄱ,N/A,N/A,N/A
면접까지 갔는데 불합하면,liilllillill,2024.11.12.,555,N/A
N/A,liilllillill,N/A,N/A,N/A
[약대 수시] 약대수시 준비시,j1j1j1,2024.11.12.,495,N/A
N/A,j1j1j1,N/A,N/A,N/A
[미대 수시] 청주대 산디 vs 계원예대 디미디,Sakesasasuke,2024.11.12.,222,N/A
N/A,Sakesasasuke,N/A,N/A,N/A
한세대 교과우수 미디어 예비 몇번까지 빠질까요..,dmsej,2024.11.12.,171,N/A
N/A,dmsej,N/A,N/A,N/A
2광탈..,고딩까치,2024.11.12.,871,N/A
N/A,고딩까치,N/A,N/A,N/A
수능 의욕이 없으요ㅠ,졸ㄹㅕ배고파,2024.11.12.,227,N/A
N/A,졸ㄹㅕ배고파,N/A,N/A,N/A
"수액 맞을까요,,?",춘식이이모,2024.11.12.,217,N/A
N/A,춘식이이모,N/A,N/A,N/A
서영대 파주캠 간호 예비 37번 가능성 있나요..,다 떨어지게 생겼네,2024.11.12.,153,N/A
N/A,다 떨어지게 생겼네,N/A,N/A,N/A
"쌍사 수특, 수완",ivcnawiltl,2024.11.12.,71,N/A
N/A,ivcnawiltl,N/A,N/A,N/A
동국대 점공 1등 광탈,이라라랑,2024.11.12.,1007,N/A
N/A,이라라랑,N/A,N/A,N/A
면접에서 성적 하락 원인 물어보면,축하드려요합격입니다,2024.11.12.,262,N/A
N/A,축하드려요합격입니다,N/A,N/A,N/A
예비마킹용펜,인티제의하루,2024.11.12.,55,N/A
N/A,인티제의하루,N/A,N/A,N/A
한경대 예비 질문,stasta,2024.11.12.,381,N/A
N/A,stasta,N/A,N/A,N/A
[동국대] 동국대 불합..,아링이,2024.11.12.,1144,N/A
N/A,아링이,N/A,N/A,N/A
[동국대] 동국대 합격,대전문과생,2024.11.12.,751,N/A
N/A,대전문과생,N/A,N/A,N/A
동국대 1차 합격!!!,kiwi6282543,2024.11.12.,869,N/A
N/A,kiwi6282543,N/A,N/A,N/A
[동국대] 1합 면접준비 같이할 사람 찾아요,슉푸화,2024.11.12.,315,N/A
N/A,슉푸화,N/A,N/A,N/A
아니동국대,뿌슈u,2024.11.12.,1168,N/A
N/A,뿌슈u,N/A,N/A,N/A
청주대 방사선학과 창의면접 최초합!,gg107,2024.11.12.,194,N/A
N/A,gg107,N/A,N/A,N/A
협성대 도시행정학과 합격,dndkk,2024.11.12.,116,N/A
N/A,dndkk,N/A,N/A,N/A
가톨릭대 발표,똥ㅋㅋㅋㅋ,2024.11.12.,536,N/A
N/A,똥ㅋㅋㅋㅋ,N/A,N/A,N/A
아주대 인하대 동국대,동국대가야겠다,2024.11.12.,1578,N/A
N/A,동국대가야겠다,N/A,N/A,N/A
한경대 식생공 예비,키키킹ㅇ,2024.11.12.,182,N/A
N/A,키키킹ㅇ,N/A,N/A,N/A
동국대 면접고사 전형료,가보자규규규규규규규,2024.11.12.,433,N/A
N/A,가보자규규규규규규규,N/A,N/A,N/A
한국사최저,강호라이,2024.11.12.,299,N/A
N/A,강호라이,N/A,N/A,N/A
동국대 정보통신공학부 1차 붙으신분?,리얼감귤,2024.11.12.,234,N/A
N/A,리얼감귤,N/A,N/A,N/A
2합7,채바바라,2024.11.12.,261,N/A
N/A,채바바라,N/A,N/A,N/A
아멘 To.동국대,집에가고싶다람쥐,2024.11.12.,268,N/A
N/A,집에가고싶다람쥐,N/A,N/A,N/A
동국대 불합격,liiliiililllllililli,2024.11.12.,1369,N/A
N/A,liiliiililllllililli,N/A,N/A,N/A
동국대 교과 컴퓨터ai학부 컷이 어느정도 이려나요,06현역한번에가자,2024.11.12.,332,N/A
N/A,06현역한번에가자,N/A,N/A,N/A
대가대 인제대 둘중 방사선학과,lilils,2024.11.12.,104,N/A
N/A,lilils,N/A,N/A,N/A
우송대 작치vs청주대 작치,saxsdcfvgj8,2024.11.12.,86,N/A
N/A,saxsdcfvgj8,N/A,N/A,N/A
동국대 광탈! 바이오환경과학과,인서울합격제발,2024.11.12.,713,N/A
N/A,인서울합격제발,N/A,N/A,N/A
수능 꿀팁 총정리,빈츠s,2024.11.12.,204,N/A
N/A,빈츠s,N/A,N/A,N/A
인하대 간호,illiilllllliilllll,2024.11.12.,646,N/A
N/A,illiilllllliilllll,N/A,N/A,N/A
동국대가 내 돈 너무 많이 가져감,우엑 대학,2024.11.12.,632,N/A
N/A,우엑 대학,N/A,N/A,N/A
청주대 국어교육과 교과우수,Whjb,2024.11.12.,152,N/A
N/A,Whjb,N/A,N/A,N/A
동국대 컴퓨터 AI 붙었습니다.,휴보,2024.11.12.,588,N/A
N/A,휴보,N/A,N/A,N/A
청주대,잉띠기,2024.11.12.,286,N/A
N/A,잉띠기,N/A,N/A,N/A
반수생 학교 옮길까요..,가리땡,2024.11.12.,373,N/A
N/A,가리땡,N/A,N/A,N/A
인하대 전전 1차 합격자분들 내신이 어떻게 되시나요,흐름끊기,2024.11.12.,592,N/A
N/A,흐름끊기,N/A,N/A,N/A
추합 돌까요?,행운의 미소녀,2024.11.12.,207,N/A
N/A,행운의 미소녀,N/A,N/A,N/A
아주대 문자 오나요?,무인도새우깡2000원,2024.11.12.,931,N/A
N/A,무인도새우깡2000원,N/A,N/A,N/A
대학 어디 가야 할까요,합격제가아님안돼요,2024.11.12.,236,N/A
N/A,합격제가아님안돼요,N/A,N/A,N/A
학종면접에서 출결에 대한 질문의 준비 방법을 모르겠어요,내나이는고쓰리,2024.11.12.,162,N/A
N/A,내나이는고쓰리,N/A,N/A,N/A
수시카드 한번만 봐주세요 5점대 일반고,중위권 현준,2024.11.12.,290,N/A
N/A,중위권 현준,N/A,N/A,N/A
대학교와 학과에 대해 고민입니다.,호양미,2024.11.12.,70,N/A
N/A,호양미,N/A,N/A,N/A
미대 교수 눈,자러갈게요,2024.11.12.,692,N/A
N/A,자러갈게요,N/A,N/A,N/A
청주대 창의면접 물리치료 예비,홍철없는홍팀,2024.11.12.,239,N/A
N/A,홍철없는홍팀,N/A,N/A,N/A
동국대 조기발표 떴어요,JYclara,2024.11.12.,385,N/A
N/A,JYclara,N/A,N/A,N/A
경희대 1차,개미코끼리,2024.11.12.,303,N/A
N/A,개미코끼리,N/A,N/A,N/A
인하대미래인재전기전자,ㅡㅠㅡ88,2024.11.12.,355,N/A
N/A,ㅡㅠㅡ88,N/A,N/A,N/A
"재원생을 위한 이벤트 ""숨은 그림 찾기""🧩",이투스 기숙학원,2024.11.12.,19,N/A
N/A,이투스 기숙학원,N/A,N/A,N/A
청주대 창의면접 간호학과 최초합,군고구맘마,2024.11.12.,436,N/A
N/A,군고구맘마,N/A,N/A,N/A
[유머] 오늘자 재평가 시급한 짤...,선글래시스,2024.11.12.,111,N/A
N/A,선글래시스,N/A,N/A,N/A
성신여대 창의융합,홍대가고싶따,2024.11.12.,327,N/A
N/A,홍대가고싶따,N/A,N/A,N/A
숙대 1차발표,개미코끼리,2024.11.12.,924,N/A
N/A,개미코끼리,N/A,N/A,N/A
인하대는 똑똑히 봐라,현역합격재수는없다,2024.11.12.,1222,N/A
N/A,현역합격재수는없다,N/A,N/A,N/A
2광탈..,작고 소중한 뱁새,2024.11.12.,546,N/A
N/A,작고 소중한 뱁새,N/A,N/A,N/A
보는 눈이 없어,IIIlIlIIllI,2024.11.12.,310,N/A
N/A,IIIlIlIIllI,N/A,N/A,N/A
인하대 인하미래인재 면접 시간,bsh7,2024.11.12.,537,N/A
N/A,bsh7,N/A,N/A,N/A
[서울권] [고려대] 2026학년도 수능 국어 대비 / 검증된 후기 다수 보유,1865,2024.11.12.,94,N/A
N/A,1865,N/A,N/A,N/A
인하대,잠봉뵈르 소보루빵,2024.11.12.,386,N/A
N/A,잠봉뵈르 소보루빵,N/A,N/A,N/A
진학사 점공,illlllilllillil,2024.11.12.,394,N/A
N/A,illlllilllillil,N/A,N/A,N/A
4광탈 ㅅㅂ,경희대시디과지망생,2024.11.12.,1454,N/A
N/A,경희대시디과지망생,N/A,N/A,N/A
이제 내겐 경기대밖에 없어,Cjy2003,2024.11.12.,678,N/A
N/A,Cjy2003,N/A,N/A,N/A
삼육대 예비...,제발저에게합격을,2024.11.12.,195,N/A
N/A,제발저에게합격을,N/A,N/A,N/A
인하대 정치외교,IlIIllIIlllIlIl,2024.11.12.,252,N/A
N/A,IlIIllIIlllIlIl,N/A,N/A,N/A
인하대 붙었는데 혹시나 아주대 까지 붙으면 어떻게해야하나요..,xjxjx,2024.11.12.,1270,N/A
N/A,xjxjx,N/A,N/A,N/A
인생 개현타 다 1차떨,쩜쩜쩜쩜쩜쩜쩜쩜쩜쩜,2024.11.12.,571,N/A
N/A,쩜쩜쩜쩜쩜쩜쩜쩜쩜쩜,N/A,N/A,N/A
인하대 합격,제발경희대납치,2024.11.12.,2430,N/A
N/A,제발경희대납치,N/A,N/A,N/A
[문제질문] 레건 자연관 질문,담옝,2024.11.12.,61,N/A
N/A,담옝,N/A,N/A,N/A
동국대 학추 생기부 반영될때,교대에서교대로,2024.11.12.,783,N/A
N/A,교대에서교대로,N/A,N/A,N/A
수능 국어 난이도,킄키,2024.11.12.,300,N/A
N/A,킄키,N/A,N/A,N/A
님들은 절대 슬리퍼신고 공부하지마세요,미적분필,2024.11.12.,971,N/A
N/A,미적분필,N/A,N/A,N/A
수능 볼 학교가 본인 학교,25학번임,2024.11.12.,941,N/A
N/A,25학번임,N/A,N/A,N/A
가채점표 못쓰게하는,유리멘탈유리공주,2024.11.12.,477,N/A
N/A,유리멘탈유리공주,N/A,N/A,N/A
남서울대 간호학과 교과+면접 최초합,가노간호가보자가뉴,2024.11.12.,582,N/A
N/A,가노간호가보자가뉴,N/A,N/A,N/A
혹시 한밭대 교통대 조발 없겠죠.?,냥냥븜,2024.11.12.,155,N/A
N/A,냥냥븜,N/A,N/A,N/A
정특 안듣고 재수,ekwnrwk,2024.11.12.,524,N/A
N/A,ekwnrwk,N/A,N/A,N/A
사문 진화론 순환론,llIIIllIllI,2024.11.12.,214,N/A
N/A,llIIIllIllI,N/A,N/A,N/A
남서울 치위생학과,6 합격하자아아,2024.11.12.,198,N/A
N/A,6 합격하자아아,N/A,N/A,N/A
이화여대 > 한국외대,26학번 가야지,2024.11.12.,1003,N/A
N/A,26학번 가야지,N/A,N/A,N/A
생윤 직업 플라톤,afa78,2024.11.12.,99,N/A
N/A,afa78,N/A,N/A,N/A
진학사 점수공개,고3공쥬,2024.11.12.,446,N/A
N/A,고3공쥬,N/A,N/A,N/A
동덕여대 근황,dhdnelsdbdjs,2024.11.12.,1155,N/A
N/A,dhdnelsdbdjs,N/A,N/A,N/A
협성대학교,도둥기,2024.11.12.,138,N/A
N/A,도둥기,N/A,N/A,N/A
정법 입법권 견제 수단,H091,2024.11.12.,65,N/A
N/A,H091,N/A,N/A,N/A
평택대학교 최초합 제발,평택대학교25학번이되,2024.11.12.,201,N/A
N/A,평택대학교25학번이되,N/A,N/A,N/A
공통수학1 교재 필요하신분?,슈가몬가,2024.11.12.,259,N/A
N/A,슈가몬가,N/A,N/A,N/A
성신여대 소비자산업학과,뚜룻두,2024.11.12.,188,N/A
N/A,뚜룻두,N/A,N/A,N/A
남서울 간호 최초합:),시연25,2024.11.12.,458,N/A
N/A,시연25,N/A,N/A,N/A
사문 사회운동 질문이요!,아아아ㅏ아아아아아ㅏ,2024.11.12.,98,N/A
N/A,아아아ㅏ아아아아아ㅏ,N/A,N/A,N/A
그냥 다 포기해버리고 싶어요,붙여주세요ㅣ,2024.11.12.,1537,N/A
N/A,붙여주세요ㅣ,N/A,N/A,N/A
계원예대 면접 너무 막막해요ㅜ,iliillllillililil,2024.11.12.,369,N/A
N/A,iliillllillililil,N/A,N/A,N/A
내신 예측해주세요,숙대입시러,2024.11.12.,511,N/A
N/A,숙대입시러,N/A,N/A,N/A
동국대 젭알,다들행운받아여,2024.11.12.,572,N/A
N/A,다들행운받아여,N/A,N/A,N/A
장수생 잡대생인데 ㅈㅅ마렵네요..,50일의 기적,2024.11.12.,752,N/A
N/A,50일의 기적,N/A,N/A,N/A
동국대 조발 2시 가능성,경희대붙여줘제발,2024.11.12.,3181,N/A
N/A,경희대붙여줘제발,N/A,N/A,N/A
[빠지실분?] 동덕여대 기균 컴공,미끄럼툴,2024.11.12.,142,N/A
N/A,미끄럼툴,N/A,N/A,N/A
뷰티과대학,시시시싱,2024.11.12.,42,N/A
N/A,시시시싱,N/A,N/A,N/A
4년제 보건행정학과vs3년제 치위생학과,프림프림,2024.11.12.,167,N/A
N/A,프림프림,N/A,N/A,N/A
원광대 조기발표 나면 좋겠다,아리웅,2024.11.12.,302,N/A
N/A,아리웅,N/A,N/A,N/A
에리카 자율전공 인문 (서류형) 예비 몇번까지 주나요?,짱나연,2024.11.12.,199,N/A
N/A,짱나연,N/A,N/A,N/A
남서울대 일반 교과 광고홍보학과 최초합 하신 분들내신 성적 쪽지로 알려주실수 있나요???,맛있는 초록매실,2024.11.12.,92,N/A
N/A,맛있는 초록매실,N/A,N/A,N/A
남서울대 광홍 합격하신분?,합격기원7777777,2024.11.12.,155,N/A
N/A,합격기원7777777,N/A,N/A,N/A
롤스와 싱어의 해외원조의무는 둘다 가언명령인가요?,경북대 일문 25학번,2024.11.12.,82,N/A
N/A,경북대 일문 25학번,N/A,N/A,N/A
남서울대 치위 교과면접,도나다젤,2024.11.12.,194,N/A
N/A,도나다젤,N/A,N/A,N/A
수원대 경영,구녕도타,2024.11.12.,240,N/A
N/A,구녕도타,N/A,N/A,N/A
동덕 hci,재혀니최고,2024.11.12.,182,N/A
N/A,재혀니최고,N/A,N/A,N/A
동국대1차발표난거죠?,가보자대학2025,2024.11.12.,2908,N/A
N/A,가보자대학2025,N/A,N/A,N/A
[빠지실분] 남서울대 간호학과 지역인재,가노학과어떻게가노,2024.11.12.,102,N/A
N/A,가노학과어떻게가노,N/A,N/A,N/A
수능 전날에,나무아미타물,2024.11.12.,387,N/A
N/A,나무아미타물,N/A,N/A,N/A
전남대,LSH02,2024.11.12.,239,N/A
N/A,LSH02,N/A,N/A,N/A
"매교시마다 감독관한테 귀마개,가채점표 확인받아야하나요?",윙윙웽,2024.11.12.,389,N/A
N/A,윙윙웽,N/A,N/A,N/A
남서울대,껌질겅,2024.11.12.,351,N/A
N/A,껌질겅,N/A,N/A,N/A
수능 때 볼펜이나 형광펜,iliillliiiili,2024.11.12.,180,N/A
N/A,iliillliiiili,N/A,N/A,N/A
동덕 최초합,수리수리 일등급 얍,2024.11.12.,532,N/A
N/A,수리수리 일등급 얍,N/A,N/A,N/A
세종대 올해 배수 변경,blowwwwing,2024.11.12.,190,N/A
N/A,blowwwwing,N/A,N/A,N/A
남서울대 간호학과 최초합,우리집개자식은나,2024.11.12.,685,N/A
N/A,우리집개자식은나,N/A,N/A,N/A
예비고1 인강 추천 부탁드립니다.,문어지지1,2024.11.12.,83,N/A
N/A,문어지지1,N/A,N/A,N/A
남서울대 일어일문 교과,25학번 새내기데스,2024.11.12.,75,N/A
N/A,25학번 새내기데스,N/A,N/A,N/A
제발 동국대 1차 붙게해주세요….🥹,고3공쥬,2024.11.12.,618,N/A
N/A,고3공쥬,N/A,N/A,N/A
아주대 ACE 전형 1차 발표,프랜티니,2024.11.12.,763,N/A
N/A,프랜티니,N/A,N/A,N/A
이감 6-10차 점수 너무 심각한데원래 어려운가요..,아졸려ㅠ,2024.11.12.,175,N/A
N/A,아졸려ㅠ,N/A,N/A,N/A
동덕여대 미디어디자인 빠지시는 분 ㅈㅂ 알려주세요,이백오십,2024.11.12.,353,N/A
N/A,이백오십,N/A,N/A,N/A
청주대 호텔외식경영,혜미혜미,2024.11.12.,107,N/A
N/A,혜미혜미,N/A,N/A,N/A
아 저 어떡해요… 하,iliiiiiilil,2024.11.12.,870,N/A
N/A,iliiiiiilil,N/A,N/A,N/A
남서울대 물치,수민수민수,2024.11.12.,190,N/A
N/A,수민수민수,N/A,N/A,N/A
남서울 보건행정,alsmskaos,2024.11.12.,101,N/A
N/A,alsmskaos,N/A,N/A,N/A
동덕여대 일어일본학과,Ukiki,2024.11.12.,227,N/A
N/A,Ukiki,N/A,N/A,N/A
[미대 수시] 계원 애니,바 아아압,2024.11.12.,92,N/A
N/A,바 아아압,N/A,N/A,N/A
한세대 발표 언제 나와요??,오키바뤼,2024.11.12.,505,N/A
N/A,오키바뤼,N/A,N/A,N/A
동덕여대 화장품학과 빠지실 분,운몰빵,2024.11.12.,299,N/A
N/A,운몰빵,N/A,N/A,N/A
인하대 조기발표,가노부리부리대마왕,2024.11.12.,1829,N/A
N/A,가노부리부리대마왕,N/A,N/A,N/A
사문 질문 인과법칙과 인과관계 차이,커피머신기,2024.11.12.,69,N/A
N/A,커피머신기,N/A,N/A,N/A
동덕 문창,강철의 급식술사,2024.11.12.,134,N/A
N/A,강철의 급식술사,N/A,N/A,N/A
동덕여대 경영 최초합,미니미은영,2024.11.12.,1061,N/A
N/A,미니미은영,N/A,N/A,N/A
생명과학5컷 몇점 정도 맞아야 하나요?,오이22,2024.11.12.,128,N/A
N/A,오이22,N/A,N/A,N/A
생2 광합성 세포호흡 질문,iliiiiliili,2024.11.12.,38,N/A
N/A,iliiiiliili,N/A,N/A,N/A
"떨지마! 중요한 시간이지만, 인생 전체에서 작은 시간일뿐이야..",소프트아메리카노,2024.11.12.,125,N/A
N/A,소프트아메리카노,N/A,N/A,N/A
[동국대] 아코!가 되자!,비공열,2024.11.12.,406,N/A
N/A,비공열,N/A,N/A,N/A
경북대 컴퓨터학부 면접,illllliiilllllll,2024.11.12.,209,N/A
N/A,illllliiilllllll,N/A,N/A,N/A
동덕 디공 합격햇습니다ㅜㅜㅜ!!!,illiilililillil,2024.11.12.,1203,N/A
N/A,illiilililillil,N/A,N/A,N/A
동덕여대 사학과 빠지실 분 있나요🥺,뿡뿡뽕뽕뿡,2024.11.12.,339,N/A
N/A,뿡뿡뽕뽕뿡,N/A,N/A,N/A
교과 인정 출결,잠만잠좀자자,2024.11.12.,119,N/A
N/A,잠만잠좀자자,N/A,N/A,N/A
[미대 수시] 동덕여대 합격자만 문자온다는데 진짜에요??,lililililiiilililili,2024.11.12.,1875,N/A
N/A,lililililiiilililili,N/A,N/A,N/A
동덕여대 공학 변경 반대할만 하다고는 생각합니다,나는야정시파이터,2024.11.12.,1121,N/A
N/A,나는야정시파이터,N/A,N/A,N/A
수능 잘 치세요. 5가지 팁,이과수학 2회만점자,2024.11.12.,723,N/A
N/A,이과수학 2회만점자,N/A,N/A,N/A
기대 안하고있는데,liilllillill,2024.11.12.,561,N/A
N/A,liilllillill,N/A,N/A,N/A
나사렛대 간호학과 최초합,울트라슈퍼킹왕짱,2024.11.12.,458,N/A
N/A,울트라슈퍼킹왕짱,N/A,N/A,N/A
[미대 수시] 홍대 면접 준비 도와주세요~,소밀맘,2024.11.12.,679,N/A
N/A,소밀맘,N/A,N/A,N/A
동국대 조발 시간,blnz,2024.11.12.,2467,N/A
N/A,blnz,N/A,N/A,N/A
국어 시간배분,위위플래쉬,2024.11.12.,175,N/A
N/A,위위플래쉬,N/A,N/A,N/A
건국대 글로컬,늘봄가든,2024.11.12.,262,N/A
N/A,늘봄가든,N/A,N/A,N/A
대전대 응구과 예비,세하라고,2024.11.12.,76,N/A
N/A,세하라고,N/A,N/A,N/A
[문제질문] 생윤 질문,내빈,2024.11.12.,107,N/A
N/A,내빈,N/A,N/A,N/A
신한대 간호 교과,ownt1234,2024.11.12.,283,N/A
N/A,ownt1234,N/A,N/A,N/A
단국대 영미인문학과 재학 중이신 분..,xxuni,2024.11.12.,42,N/A
N/A,xxuni,N/A,N/A,N/A
생윤🙏,몽에코초,2024.11.12.,116,N/A
N/A,몽에코초,N/A,N/A,N/A
수능 감독관 허락 맡을 때,지새새,2024.11.12.,731,N/A
N/A,지새새,N/A,N/A,N/A
[빠지실분] 백석대 일반전형 사회복지학부 빠지실 분?,맹맹뮹,2024.11.12.,97,N/A
N/A,맹맹뮹,N/A,N/A,N/A
인하대. 동국대. 아주대. 오늘 발표인가요?,Goldstar짱,2024.11.12.,1732,N/A
N/A,Goldstar짱,N/A,N/A,N/A
자연에 은거하며 흥취를 즐기는 양반들,지리학,2024.11.12.,173,N/A
N/A,지리학,N/A,N/A,N/A
수능 탐구 시간에,과교25,2024.11.12.,245,N/A
N/A,과교25,N/A,N/A,N/A
[서성한 수시] 성균관대 논술 연습장,liiilliiiiillllll,2024.11.12.,146,N/A
N/A,liiilliiiiillllll,N/A,N/A,N/A
건국대글로컬조기발표하는편인가요?,띠wwww,2024.11.12.,303,N/A
N/A,띠wwww,N/A,N/A,N/A
인하대 합격기원,뿌헤에에에엥,2024.11.12.,493,N/A
N/A,뿌헤에에에엥,N/A,N/A,N/A
아주대 조기발표,대학갈수는잇을지,2024.11.12.,1114,N/A
N/A,대학갈수는잇을지,N/A,N/A,N/A
경운대VS김천대,모차님,2024.11.12.,270,N/A
N/A,모차님,N/A,N/A,N/A
[미대 수시] 홍익대 오늘 결과 몇시 어디에,illililliililii,2024.11.12.,813,N/A
N/A,illililliililii,N/A,N/A,N/A
수능 접수증이 없다는데,귀찮은,2024.11.12.,1216,N/A
N/A,귀찮은,N/A,N/A,N/A
경영학과 수학,비비빔밥,2024.11.12.,133,N/A
N/A,비비빔밥,N/A,N/A,N/A
동국 합격제발,베리베리베라,2024.11.12.,575,N/A
N/A,베리베리베라,N/A,N/A,N/A
국어 공부,Hannanna,2024.11.12.,123,N/A
N/A,Hannanna,N/A,N/A,N/A
경*고 임두* 김*체 동국대 합격 기원합니다☠️☠️💦💦❤️🙈,Loopy31,2024.11.12.,199,N/A
N/A,Loopy31,N/A,N/A,N/A
어디가 전망이 좋을까요?,요그뜨,2024.11.12.,302,N/A
N/A,요그뜨,N/A,N/A,N/A
"가천대 지역균형 면접 체험활동, 세특 질문 비율이 어떻게 되나요?",ㅇㅇㅇ응ㅇ애,2024.11.12.,242,N/A
N/A,ㅇㅇㅇ응ㅇ애,N/A,N/A,N/A
[세종대] 세종대 영화과 예비,민디지털미디어시티,2024.11.12.,152,N/A
N/A,민디지털미디어시티,N/A,N/A,N/A
션티T 키스 로직,옹홍온운,2024.11.12.,216,N/A
N/A,옹홍온운,N/A,N/A,N/A
일반고에서 인서울 의대 학종은 불가능한가요?,제발성대보내주세요,2024.11.12.,862,N/A
N/A,제발성대보내주세요,N/A,N/A,N/A
사실 동덕여대 사태가 좀 웃긴게,lllililillililillil,2024.11.12.,5673,N/A
N/A,lllililillililillil,N/A,N/A,N/A
[미대 정시] 안녕하세요,얄라우끼,2024.11.12.,357,N/A
N/A,얄라우끼,N/A,N/A,N/A
수능 3일전에 과제폭탄에 시달려버린 ww,lllililillililillil,2024.11.12.,293,N/A
N/A,lllililillililillil,N/A,N/A,N/A
"2025학년도(2024) 메디컬 정시, 의치한약수 (획득비, 변표, 깡표점)",방구선생,2024.11.12.,258,N/A
N/A,방구선생,N/A,N/A,N/A
[충남권] 호서대 경영학부 합격했는데,수시완벽,2024.11.12.,330,N/A
N/A,수시완벽,N/A,N/A,N/A
백건아 동사 모고 파트투,lilllliiiilillo,2024.11.12.,45,N/A
N/A,lilllliiiilillo,N/A,N/A,N/A
작수 국어 1컷인데,lllililillililillil,2024.11.12.,430,N/A
N/A,lllililillililillil,N/A,N/A,N/A
서정대 응급구조과 추합 가능할까요?,어둠박쥐,2024.11.12.,42,N/A
N/A,어둠박쥐,N/A,N/A,N/A
6평 영어 86인데,lllililillililillil,2024.11.12.,413,N/A
N/A,lllililillililillil,N/A,N/A,N/A
김천대 예비,젠또멍,2024.11.12.,179,N/A
N/A,젠또멍,N/A,N/A,N/A
ebs 국어 연계 소식 있나요?,iliillliiiili,2024.11.12.,375,N/A
N/A,iliillliiiili,N/A,N/A,N/A
강남하이퍼 목동 윈터들어가는데,sufneidjei,2024.11.12.,156,N/A
N/A,sufneidjei,N/A,N/A,N/A
협성대 시각,냥뇽ㅇ콘,2024.11.12.,374,N/A
N/A,냥뇽ㅇ콘,N/A,N/A,N/A
미대 전문대 수시 2차,냥뇽ㅇ콘,2024.11.12.,386,N/A
N/A,냥뇽ㅇ콘,N/A,N/A,N/A
부가대 간호-> 대구경북에서는…? 부가대 인식,고3스투던츠,2024.11.12.,364,N/A
N/A,고3스투던츠,N/A,N/A,N/A
수능장에 아예 핸드폰 안가지고 가는 학생들,12038358,2024.11.12.,1017,N/A
N/A,12038358,N/A,N/A,N/A
전담 반입이 안돼서 연초 들고 가려 했는데,깅 유,2024.11.12.,534,N/A
N/A,깅 유,N/A,N/A,N/A
현고1 과탐 공부 인강제발 물회생추천부탁요,summus07,2024.11.12.,111,N/A
N/A,summus07,N/A,N/A,N/A
원래 열심히 하면 떨리는 게 맞죠?,주요과목에 올인,2024.11.12.,275,N/A
N/A,주요과목에 올인,N/A,N/A,N/A
"오늘 대학 1차,최종합격 나오시는분들",대학가자제발 ㅠㅠㅠ,2024.11.12.,1319,N/A
N/A,대학가자제발 ㅠㅠㅠ,N/A,N/A,N/A
메가 환급,뽕피리,2024.11.12.,236,N/A
N/A,뽕피리,N/A,N/A,N/A
우송대 물치 교과면접 예비,왜가제요,2024.11.12.,104,N/A
N/A,왜가제요,N/A,N/A,N/A
예비 고3 간호학과 수학 선택과목 고민됩니다 도와주세요ㅜㅜ,lliiiiliiill,2024.11.12.,185,N/A
N/A,lliiiiliiill,N/A,N/A,N/A
동덕여대,듀듀듀두,2024.11.12.,859,N/A
N/A,듀듀듀두,N/A,N/A,N/A
